iter	Accuracy	MultiClass
258	0.6002941176	0.8757908399
259	0.6003921569	0.8756086212
260	0.6003921569	0.8754429891
261	0.6002941176	0.875249612
262	0.6002941176	0.8750548543
263	0.6004901961	0.8748239929
264	0.6005882353	0.8745131969
265	0.6008823529	0.8743036839
266	0.6002941176	0.8741218102
267	0.6003921569	0.8739271873
268	0.6006862745	0.8736949492
269	0.6006862745	0.8734956743
270	0.6012745098	0.8732836592
271	0.6014705882	0.8731144156
272	0.6016666667	0.8728101584
273	0.6018627451	0.8725421508
274	0.6017647059	0.8723087242
275	0.6020588235	0.8721716907
276	0.6023529412	0.8719987053
277	0.6021568627	0.8716813254
278	0.6025490196	0.8714991609
279	0.6023529412	0.8712342803
280	0.602745098	0.8709395671
281	0.6025490196	0.8707709504
282	0.6026470588	0.8706584567
283	0.6029411765	0.8704587664
284	0.6028431373	0.8703079581
285	0.6026470588	0.8702578093
286	0.6032352941	0.8700375178
287	0.6034313725	0.8698888823
288	0.6034313725	0.8697086086
289	0.6037254902	0.8694816054
290	0.603627451	0.8692455324
291	0.6033333333	0.8690879038
292	0.603627451	0.8688714659
293	0.6035294118	0.8686541938
294	0.6038235294	0.8683760051
295	0.6044117647	0.8681697932
296	0.6044117647	0.8679592419
297	0.6044117647	0.8678219125
298	0.6041176471	0.8675886831
299	0.6045098039	0.8673820852
300	0.6049019608	0.8672819639
301	0.6053921569	0.8670557429
302	0.6051960784	0.8668326248
303	0.605	0.8665808278
304	0.6050980392	0.8664394375
305	0.605	0.8662434387
306	0.6052941176	0.8660590502
307	0.6053921569	0.8658301076
308	0.6053921569	0.8656555716
309	0.6054901961	0.8654432579
310	0.6052941176	0.8652037342
311	0.6052941176	0.8650167472
312	0.605	0.8648264414
313	0.6051960784	0.8646595045
314	0.6054901961	0.8644474329
315	0.6052941176	0.8643275636
316	0.6052941176	0.8642119464
317	0.6052941176	0.8640168294
318	0.6054901961	0.8638766234
319	0.6051960784	0.863513678
320	0.6052941176	0.8633934687
321	0.6055882353	0.8632043871
322	0.6059803922	0.8629879558
323	0.6058823529	0.8628614102
324	0.6065686275	0.8626258787
325	0.606372549	0.8624470088
